team,rating,matches,last_match
El Salvador,1495.5,310,2026-06-06
Saugeais,1495.5,1,2013-06-29
Niger,1492.9,160,2026-06-08
Mozambique,1492.3,234,2026-06-09
Bulgaria,1490.9,249,2026-06-05
Republic of St. Pauli,1490.9,4,2006-06-03
Madrid,1490.3,1,2013-06-07
Cilento,1489.5,1,2011-12-29
Sápmi,1488.1,29,2023-07-16
Seborga,1487.4,1,2014-08-10
Sealand,1486.7,12,2014-08-10
Luhansk PR,1486.6,6,2019-12-08
Matabeleland,1484.2,8,2022-05-25
Yoruba Nation,1483.6,2,2022-05-23
Greenland,1482.8,45,2024-06-01
Comoros,1482.4,137,2026-06-09
Kyrgyzstan,1481.7,166,2026-06-09
Martinique,1478.6,158,2026-03-29
Gozo,1478.0,14,2025-07-17
Provence,1477.8,21,2013-06-28
Somaliland,1477.4,6,2019-05-04
South Ossetia,1476.0,17,2019-12-08
Franconia,1475.8,3,2019-06-25
Ryūkyū,1474.6,1,2016-11-26
West Papua,1474.5,2,2022-11-13
Åland Islands,1471.1,31,2023-07-13
Kenya,1470.5,296,2026-06-04
Mayotte,1469.6,38,2023-08-26
Zimbabwe,1469.2,269,2026-05-30
Sudan,1467.5,284,2026-01-03
Papua New Guinea,1464.9,75,2025-11-23
Montenegro,1464.6,167,2026-06-05
Aymara,1463.2,2,2022-06-19
Tajikistan,1463.1,174,2026-06-09
Hmong,1461.1,3,2023-08-08
Romani people,1461.1,7,2016-05-16
Kazakhstan,1460.7,228,2026-06-09
Lebanon,1460.6,249,2025-11-26
Sierra Leone,1459.3,137,2026-06-09
Rwanda,1457.0,248,2026-03-30
Kabylia,1456.9,6,2018-06-09
East Turkestan,1455.3,5,2025-07-04
Gotland,1454.6,25,2017-06-29
Chechnya,1448.5,3,2006-02-18
Mauritania,1447.9,160,2026-06-08
Vanuatu,1446.2,112,2026-06-06
Monaco,1443.2,24,2017-04-29
Găgăuzia,1441.2,3,2006-11-21
Equatorial Guinea,1440.4,152,2026-06-09
Western Isles,1440.2,34,2025-07-17
Malawi,1438.1,282,2026-06-09
Liberia,1437.0,155,2026-06-09
French Guiana,1433.8,109,2024-11-19
Hitra,1429.0,15,2025-07-17
Saint Barthélemy,1425.1,10,2023-03-10
Fiji,1424.1,126,2026-06-06
Turkmenistan,1420.9,131,2025-11-18
Cuba,1420.8,224,2026-03-29
Tanzania,1419.2,280,2026-03-29
Orkney,1418.8,28,2025-07-17
Marshall Islands,1418.0,2,2025-08-16
Raetia,1413.4,26,2023-08-06
Vatican City,1412.7,8,2022-04-22
Ticino,1411.1,2,2023-08-06
Luxembourg,1411.1,240,2026-06-06
Lesotho,1410.9,234,2026-06-04
Namibia,1407.6,213,2026-03-28
Two Sicilies,1402.0,6,2023-07-02
Western Sahara,1397.2,9,2013-06-28
Ambazonia,1392.9,6,2007-06-07
Puerto Rico,1392.6,98,2026-06-05
Botswana,1391.1,267,2026-03-31
Ethiopia,1390.9,205,2026-06-09
Faroe Islands,1389.6,200,2026-06-09
Philippines,1388.1,213,2026-06-09
Burundi,1384.1,179,2026-05-26
Estonia,1379.9,325,2026-06-09
Armenia,1377.3,226,2026-06-09
Barawa,1376.7,12,2019-05-25
Saint Vincent and the Grenadines,1376.0,128,2026-03-29
Solomon Islands,1370.5,129,2026-03-30
Saare County,1368.1,31,2017-06-29
Guinea-Bissau,1363.4,111,2026-03-31
Hong Kong,1360.0,209,2026-06-09
Bermuda,1358.4,126,2026-06-06
